Unité,Français,Allemand,
,la fin,der Schluss,
,"A onze heures, c'est/c'était fini.",Um elf ist/war Schluss.,
,ne... que...,erst,
,La fête ne s'est terminée qu'à onze heures.,Das Fest war erst um elf Uhr zu Ende.,
,fini,vorbei,
,La fête est finie.,Die Party ist vorbei.,
,Excusez-moi !,Entschuldigung !,
,J'aimerais bien...,Ich hätte gern...,
,Combien coûte... ?,Wie viel kostet... ?,
,Quelle heure est-il?,Wie spät ist es ?,
,Où sont les toilettes?,Wo ist die Toilette?,
,Comment est-ce que je vais à la police?,Wie komme ich zur Polizei ?,
,Comment est-ce que je vais à la gare?,Wie komme ich zum Bahnhof?,
,Quel bus va dans le centre?,Welcher Bus fährt ins Zentrum?,
,A quelle heure part...?,Wann fährt... ?,
,Y a-t-il des billets ici?,Gibt es hier Fahrkarten?,
,Peut-on ..... ici?,Kann man hier... ?,
,"Pourrais-je avoir encore un coca, s'il vous plaît?",Kann ich bitte noch eine Cola haben ?,
K7,l'ami,der Freund,
,les amis,die Freunde,
,l'amie,die Freundin,
,les amies,die Freundinnen,
,le garçon,der Junge,
,les garçons,die Jungen,
,la fille,das Mädchen,
,les filles,die Mädchen,
,la chanson,das Lied,
,les chansons,die Lieder,
,danser,tanzen,
,il danse,er tanzt,
,il a dansé,er hat getanzt,
,ennuyeux,langweilig,
,faire la connaissance de,kennenlernen,
,il fait la connaissance de,er lernt kennen,
,il a fait la connaissance de,er hat kennengelernt,
,se rencontrer,sich treffen,
,ils se rencontrent,sie treffen sich,
,ils se sont rencontrés,sie haben sich getroffen,
,Martina et Jens se sont rencontrés.,Martina und Jens haben sich getroffen.,
,parler,sprechen,
,il parle,er spricht,
,il a parlé,er hat gesprochen,
,Alexandra a parlé avec Martina.,Alexandra hat mit Martina gesprochen.,
,regarder la télé,fernsehen,
,il regarde la télé,er sieht fern,
,il a regardé la télé,er hat ferngesehen,
,mon meilleur ami,mein bester Freund,
,ma meilleure amie,meine beste Freundin,
,Nous sommes les meilleur(e)s ami(e)s.,Wir sind beste Freunde/Freundinnen.,
,la lettre,der Brief,
,les lettres,die Briefe,
,Alexandra a écrit une lettre.,Alexandra hat einen Brief geschrieben.,
,sans,ohne,
,depuis,seit,
,Nous nous connaissons depuis 5 jours/semaines/mois/ans.,Wir kennen uns seit 5 Tagen/Wochen/Monaten/Jahren.,
,ensemble,zusammen,
,Nous jouons au football ensemble.,Wir spielen zusammen Fussball.,
,Qu'est-ce qui s'est passé?,Was ist passiert ?,
,aller,gehen,
,il va,er geht,
,il est allé,er ist gegangen,
,Martina et Jens sont allés au cinéma.,Martina und Jens sind ins Kino gegangen.,
,être,sein,
,il est,er ist,
,il a été,er ist gewesen,
,Sophie a aussi été au cinéma.,Sophie ist auch im Kino gewesen.,
,écouter,zuhören,
,il écoute,er hört zu,
,il a écouté,er hat zugehört,
,mentir,lügen,
,il ment,er lügt,
,il a menti,er hat gelogen,
,Martina a menti.,Martina hat gelogen.,
,l'amitié,die Freundschaft,
,les amitiés,die Freundschaften,
,le journal intime,das Tagebuch,
,les journaux intimes,die Tagebücher,
,furieux,wütend,
,Alexandra est furieuse.,Alexandra ist wütend.,
,aider,helfen,
,il aide,er hilft,
,il a aidé,er hat geholfen,
,le début,der Anfang,
,les débuts,die Anfänge,
,le conseil,der Tipp,
,les conseils,die Tipps,
,déçu,enttäuscht,
,la dispute,der Streit,
,Alexandra et Martina ont eu une dispute.,Alexandra und Martina haben Streit.,
,amis pour la vie,Freunde fürs Leben,
,ne... plus,nicht mehr,
,ne plus être ensemble,nicht mehr zusammen sein,
,ne plus être ami(e)s,keine Freunde/Freundinnen mehr sein,
,Que dois-je faire ?,Was soll ich nur machen ?,
,se sentir,sich fühlen,
,il se sent,er fühlt sich,
,il s'est senti,er hat sich gefühlt,
,manquer,fehlen,
,tu me manques,du fehlst mir,
,tu m'as manqué,du hast mir gefehlt,
,sportif,sportlich,
,pas sportif,unsportlich,
,intelligent,intelligent,
,bête,dumm,
,drôle,lustig,
,triste,traurig,
,sympathique,sympathisch,
,pas sympa,unsympathisch,
,juste,fair,
,injuste,unfair,
,heureux,glücklich,
,malheureux,unglücklich,
,aimable,freundlich,
,peu aimable,unfreundlich,
,patient,geduldig,
,impatient,ungeduldig,
,ponctuel,pünktlich,
,en retard,unpünktlich,
,courageux,mutig,
,lâche,feige,
,honnête,ehrlich,
,"pas franc, déloyal",unehrlich,
,"drôle, bizarre",komisch,
,Tu es drôle.,Du bist lustig.,
,Ton t-shirt est cool.,Dein T-Shirt ist cool.,
,le compliment,das Kompliment,
,les compliments,die Komplimente,
,faire des compliments,Komplimente machen,
,il fait des compliments,er macht Komplimente,
,il a fait des compliments,er hat Komplimente gemacht,
,plaire,gefallen,
,elle lui plaît,sie gefällt ihm,
,elle lui a plu,sie hat ihm gefallen,
,Tu sais bien chanter.,Du khans gut singen.,
,Je te trouve gentil.,Ich finde dich nett.,
,J'aime bien ton rire.,Ich mag dein Lachen.,
K8,la chambre,das Zimmer,
,les chambres,die Zimmer,
,le jardin,der Garten,
,les jardins,die Gärten,
,la cave,der Keller,
,les caves,die Keller,
,"la place préférée, l'endroit préféré",der Lieblingsplatz,
,"les places préférées, les endroits préférés",die Lieblingsplätze,
,la chaise,der Stuhl,
,les chaises,die Stühle,
,la lampe,die Lampe,
,les lampes,die Lampen,
,l'étagère,das Regal,
,les étagères,die Regale,
,le poster,das Poster,
,les posters,die Poster,
,le lit,das Bett,
,les lits,die Betten,
,le bureau,der Schreibtisch,
,les bureaux,die Schreibtische,
,la porte,die Tür,
,les portes,die Türen,
,l'armoire,der Schrank,
,les armoires,die Schränke,
,le portemanteau,die Garderobe,
,les portemanteaux,die Garderoben,
,le tapis,der Teppich,
,les tapis,die Teppiche,
,le mur,die Wand,
,les murs,die Wände,
,la fenêtre,das Fenster,
,les fenêtres,die Fenster,
,ouvert,offen,
,La fenêtre est ouverte.,Das Fenster ist offen.,
,dehors,draussen,
,le balcon,der Balkon,
,les balcons,die Balkone,
,la corbeille à papier,der Papierkorb,
,les corbeilles à papier,die Papierkörbe,
,le sol,der Boden,
,les sols,die Böden,
,le coin,die Ecke,
,les coins,die Ecken,
,le plafond,die Decke,
,les plafonds,die Decken,
,le hamac,die Hängematte,
,les hamacs,die Hängematten,
,le fauteuil,der Sessel,
,les fauteuils,die Sessel,
,les fringues,die Klamotten,
,Mes fringues sont dans l'armoire.,Meine Klamotten sind im Schrank.,
,l'ordinateur portable,der Laptop,
,les ordinateurs portables,die Laptops,
,le classeur,der Ordner,
,les classeurs,die Ordner,
,ordonné,ordentlich,
,désordonné,unordentlich,
,propre,sauber,
,sale,schmutzig,
,rangé,aufgeräumt,
,chaotique,chaotisch,
,ranger,aufräumen,
,il range,er räumt auf,
,il a rangé,er hat aufgeräumt,
,Je dois ranger ma chambre.,Ich muss mein Zimmer aufräumen.,
,le chaos,das Chaos,
,"confortable, agréable",gemütlich,
,l'ordre,die Ordnung,
,les ordres,die Ordnungen,
,le désordre,die Unordnung,
,les désordres,die Unordnungen,
,énerver,nerven,
,il énerve,er nervt,
,il a énervé,er hat genervt,
,Ca énerve mes parents.,Das nervt meine Eltern.,
,romantique,romantisch,
,J'habite à...,Ich wohne in...,
,la maison,das Haus,
,les maisons,die Häuser,
,habiter,wohnen,
,il habite,er wohnt,
,il a habité,er hat gewohnt,
,au centre-ville,im Stadtzentrum,
,la rue,die Strasse,
,les rues,die Strassen,
,l'appartement,die Wohnung,
,les appartements,die Wohnungen,
,"dans la ville, en ville",in der Stadt,
,à la campagne,auf dem Land,
,le village,das Dorf,
,les villages,die Dörfer,
,J'habite dans un village.,Ich wohne in einem Dorf.,
,la nature,die Natur,
,l'arbre,der Baum,
,les arbres,die Bäume,
,la fleur,die Blume,
,les fleurs,die Blumen,
,la vieille ville,die Altstadt,
,les vieilles villes,die Altstädte,
,le loyer,die Miete,
,les loyers,die Mieten,
,Le loyer est très cher.,Die Miete ist sehr teuer.,
,le voisin,der Nachbar,
,les voisins,die Nachbarn,
,la voisine,die Nachbarin,
,les voisines,die Nachbarinnen,
,l'immeuble,das Hochhaus,
,les immeubles,die Hochhäuser,
,la maison mitoyenne,das Reihenhaus,
,les maisons mitoyennes,die Reihenhäuser,
,la construction ancienne,der Altbau,
,les constructions anciennes,die Altbauten,
,la ferme,der Bauernhof,
,les fermes,die Bauernhöfe,
,"l'écurie, l'étable",der Stall,
,"les étables, les écuries",die Ställe,
,partager une chambre,ein Zimmer teilen,
,la rue principale,die Hauptstrasse,
,les rues principales,die Hauptstrassen,
,à proximité,in der Nähe,
