Unité,Français,Allemand
,Le journal est actuel.,Die Zeitung ist aktuell.
,romantique,romantisch
,pas romantique,unromantisch
,plein de fantaisie,fantasievoll
,Le livre est de…,Das Buch ist von…
,Le livre parle de…,Das Buch erzählt von…
,"le personnage principal, le héros",die Hauptfigur
,"les personnages principaux, les héros",die Hauptfiguren
,le roman d’amour,der Liebesroman
,les romans d’amour,die Liebesromane
,le roman d’aventure,der Abenteuerroman 
,les romans d’aventure,die Abenteuerromane
,la biographie,die Biografie
,les biographies,die Biografien
,le conte,das Märchen
,les contes,die Märchen
,le fantastique (fantasy),die Fantasy
,le poème,das Gedicht
,les poèmes,die Gedichte
,le livre scolaire,das Schulbuch
,les livres scolaires,die Schulbücher
,l’horoscope,das Horoskop
,les horoscopes,die Horoskope
,le menu,der Speiseplan
,les menus,die Speisepläne
,historique,historisch
,réel,real
,critique,kritisch
,amoureux,verliebt
,sur le balcon,auf dem Balkon
,dans le jardin,im Garten
,dans le parc,im Park
,sur un banc,auf einer Bank
,dans le train,im Zug
,dans l’avion,im Flugzeug
,à la piscine,im Schwimmbad
,sur la plage,am Strand
,aux toilettes,auf der Toilette
,le fauteuil,der Sessel
,les fauteuils,die Sessel
,dans un fauteuil,auf einem Sessel
,le canapé,das Sofa
,les canapés,die Sofas
,sur le canapé,auf dem Sofa
,"confortable, agréable",gemütlich
,"Je lis au lit, c’est confortable.","Ich lese im Bett, das ist gemütlich."
,douillet,kuschelig
,la couverture,die Bettdecke
,les couvertures,die Bettdecken
,sous la couverture,unter der Bettdecke
,la salle d’attente (chez le médecin),das Wartezimmer (beim Arzt)
,les salles d’attente,die Wartezimmer
,dans la salle d’attente,im Wartezimmer
,tout à coup,plötzlich
,Elle dut partir tout à coup.,Plötzlich musste sie weg. 
,"découvrir, dénicher",entdecken
,il découvre,er entdeckt
,il a découvert,er hat entdeckt
,fermer,schliessen
,il ferme,er schliesst
,il a fermé,er hat geschlossen
,Le musée ferme à 5h30. ,Das Museum schliesst um halb sechs.
,la clé,der Schlüssel
,les clés,die Schlüssel 
,avant-hier,vorgestern
,confidentiel(lement),vertraulich
,Est-ce que je peux vous parler confidentiellement ?,Kann ich vertraulich mit Ihnen reden?
,le comportement,das Verhalten
,le surveillant,die Aufsicht
,les surveillants,die Aufsichten 
,le cas,der Fall
,les cas,die Fälle
,"savoir, être au courant",Bescheid wissen
,"C'est tout bon, je suis au courant. ","Alles klar, ich weiss Bescheid."
,suspect,verdächtig
,le soupçon,der Verdacht
,"piquer, chiper",klauen
,il pique,er klaut
,il a piqué,er hat geklaut
,"étrange, bizarre",komisch
,Il fait des choses étranges. ,Er macht komische Sachen.
,être/sortir avec qqn,zusammen sein
,Il sort avec Jessica. ,Er ist mit Jessica zusammen.
K7,l’argent,das Geld
,avoir besoin ,brauchen
,il a besoin,er braucht
,il a eu besoin,er hat gebraucht
,le cadeau,das Geschenk
,les cadeaux,die Geschenke
,les affaires d’école,die Schulsachen
,acheter,kaufen
,il achète,er kauft
,il a acheté,er hat gekauft
,payer,bezahlen
,il paie,er bezahlt
,il a payé,er hat bezahlt
,Où est-ce que je peux payer ?,Wo kann ich bezahlen?
,l’argent de poche,das Taschengeld
,l’adolescent(e),der/die Jugendliche
,les adolescents,die Jugendlichen
,trop,zu viel
,trop peu,zu wenig
,pas tant que ça,nicht so viel
,assez,genug
,Ca ne suffit pas.,Es reicht nicht.
,Ca suffit. ,Es ist genug.
,C'est juste suffisant.,Es reicht gerade so.
,recevoir,bekommen
,il reçoit,er bekommt
,il a reçu,er hat bekommen
,dépenser,ausgeben
,il dépense,er gibt … aus
,il a dépensé,er hat ausgegeben
,"épargner, économiser",sparen
,il épargne,er spart
,il a épargné,er hat gespart
,être fauché,pleite sein
,"Je n’ai plus d’argent, je suis fauché.","Ich habe kein Geld mehr, ich bin pleite."
,"par mois, tous les mois",pro Monat / im Monat / jeden Monat
,par semaine,in der Woche / pro Woche
,"au moins, au minimum",mindestens
,au maximum,höchstens
,"à vrai dire, en fait",eigentlich
,"A vrai dire, j’ai assez d’argent.",Eigentlich habe ich genug Geld. 
,particulièrement,besonders
,le billet de concert,die Konzertkarte
,les billets de concert,die Konzertkarten
,organiser,organisieren
,il organise,er organisiert
,il a organisé,er hat organisiert
,la somme fixe,die fixe Summe
,le coût de la vie,die Lebenskosten
,être à disposition,zur Verfügung stehen
,"Par mois, il a 50 Euro à disposition.",Ihm stehen im Monat 50 Euro zur Verfügung.
,le contrat,der Vertrag
,les contrats,die Verträge
,Les familles concluent un contrat.,Die Familien schliessen einen Vertrag.
,faire confiance à ,jemanden vertrauen
,Je te fais confiance.,Ich vertraue dir.
,travaillerr,arbeiten
,il travaille,er arbeitet
,il a travaillé,er hat gearbeitet
,"avoir un job, un petit boulot, bosser",jobben
,il bosse,er jobbt
,il a bossé,er hat gejobbt
,gagner de l’argent,verdienen
,il gagne de l’argent,er verdient
,il a gagné de l’agent,er hat verdient
,Je bosse tous les samedis et je gagne de l’argent.,Ich jobbe samstags und verdiene Geld.
,"le job, le travail, le petit boulot",der Job
,les jobs,die Jobs
,le job d’écolier,der Schülerjob
,le voisin,der Nachbar
,les voisins,die Nachbarn
,la voisine,die Nachbarin
,les voisines,die Nachbarinnen
,la promenade,der Spaziergang
,les promenades,die Spaziergänge
,la fabrique,die Fabrik
,les fabriques,die Fabriken
,pauvre,arm
,riche,reich
,"Ils n’ont pas d’argent, ils sont pauvres.","Sie haben kein Geld, sie sind arm."
,nettoyer,putzen / sauber machen
,il nettoie,er putzt
,il a nettoyé,er hat geputzt
,construire,bauen
,il construit,er baut
,il a construit,er hat gebaut
,le salaire,der Lohn
,les salaires,die Löhne
,le cours particulier,die Nachhilfe
,l’escargot,die Schnecke
,les escargots,die Schnecken
,la lampe de poche,die Taschenlampe
,les lampes de poche,die Taschenlampen
,le seau,der Eimer
,les seaux,die Eimer
,"donner, faire un don",spenden
,il fait un don,er spendet
,il a fait un don,er hat gespendet
,Elle a donné beaucoup d’argent.,Sie hat viel Geld gespendet.
,la condition,die Voraussetzung
,les conditions,die Voraussetzungen
,la chance,die Chance
,les chances,die Chancen
,avoir plus de chances,mehr Chancen haben
,les dettes,die Schulden
,le travail des enfants,die Kinderarbeit
,protester,protestieren
,il proteste,er protestiert
,il a protesté,er hat protestiert
,la manifestation,die Demonstration
,les manifestations,die Demonstrationen
,l’action humanitaire,die Hilfsaktion
,les actions humanitaires,die Hilfsaktionen
,la permission,die Erlaubnis
,la chance (le bol),das Glück
,échanger,tauschen
,il échange,er tauscht
,il a échangé,er hat getauscht
,Hans échange un cheval contre une vache.,"Hans tauscht ein Pferd gegen eine Kuh,"
,partager,teilen
,il partage,er teilt
,il a partagé,er hat geteilt
,le cheval,das Pferd
,les chevaux,die Pferde
,la vache,die Kuh
,les vaches,die Kühe
,le cochon,das Schwein
,les cochons,die Schweine
,l’oie,die Gans
,les oies,die Gänse
,"la pierre, le caillou",der Stein
,"les pierres, les cailloux",die Steine
,"le puits, la fontaine",der Brunnen
,"les puits, les fontaines",die Brunnen
,tomber,fallen
,il tombe,er fällt
,il est tombé,er ist gefallen
,l’or,das Gold
,Hans reçoit un lingot d’or.,Hans bekommt einen Klumpen Gold.
,proposer,vorschlagen
,il propose,er schlägt … vor
,il a proposé,er hat vorgeschlagen
K8,le public,das Publikum
,"le savoir, les connaissances",das Wissen
,gagner,gewinnen
,il gagne,er gewinnt
,il a gagné,er hat gewonnen
,perdre,verlieren
,il perd,er verliert
,il a perdu,er hat verloren
,le talent,das Talent
,les talents,die Talente
,"l’aspect, l’apparence physique",das Aussehen
,"la forme, la bonne condition physique",die Fitness
,la voix,die Stimme
,les voix,die Stimmen
,"Sa voix est super, il sait très bien chanter.","Seine Stimme ist toll, er kann sehr gut singen."
,le candidat,der Kandidat
,les candidats,die Kandidaten
,la candidate,die Kandidatin
,les candidates,die Kandidatinnen
,le spectacle,die Show
,les spectacles,die Shows
,"la compétition, le concours",der Wettbewerb
,"les compétitions, les concours",die Wettbewerbe
,se présenter,sich vorstellen
,il se présente,er stellt sich vor
,il s'est présenté,er hat sich vorgestellt
,participer à,teilnehmen
,il participe,er  nimmt … teil
,il a participé,er hat teilgenommen
,Il participe au concours.,Er nimmt am Wettbewerb teil.
,"quitter, être éliminé",ausscheiden
,il est éliminé,er scheidet … aus
,il a été éliminé,er ist ausgeschieden
,"la prestation, la représentation",der Auftritt
,"les prestations, les représentations",die Auftritte
,la scène,die Bühne
,les scènes,die Bühnen 
,l’invention,die Erfindung
,les inventions,die Erfindungen
,faire de la recherche,forschen
,il fait de la recherche,er forscht
,il a fait de la recherche,er hat geforscht
,le jury,die Jury
,les jurys,die Jurys
,l’avantage,der Vorteil
,les avantages,die Vorteile
,le désavantage,der Nachteil
,les désavantages,die Nachteile
,"poser sa candidature, postuler",sich bewerben
,il postule,er bewirbt sich
,il a postulé,er hat sich beworben
,Elle se porte candidate à DSDS.,Sie bewirbt sich sei DSDS.
,"renoncer, abandonner",aufgeben
,il abandonne,er gibt … auf
,il a abandonné,er hat aufgegeben
,en outre,ausserdem
,l’expérience,die Erfahrung
,les expériences,die Erfahrungen
,Il a fait ses propres expériences avec les spectacles.,Er hat seine eigenen Erfahrungen bei den Shows gesammelt.
,le spectateur,der Zuschauer
,les spectateurs,die Zuschauer
,la spectatrice,die Zuschauerin
,les spectatrices,die Zuschauerinnen
,le fan,der Fan
,les fans,die Fans
,la star,der Star
,les stars,die Stars
,célèbre,berühmt
,Je veux devenir célèbre.,Ich will berühmt werden.
,devenir,werden
,il devient,er wird
,il est devenu,er ist geworden
,Il veut devenir chanteur. ,Er will Sänger werden.
,né,geboren
,Je suis né le 08.08.1988.,Ich bin am 08.08.1988 geboren.
,le mannequin,das Model
,les mannequins,die Models
,"le but, l’objectif, la destination",das Ziel
,"les buts, les objectifs, les destinations",die Ziele
,atteindre,erreichen
,il atteint,er erreicht
,il a atteint,er hat erreicht
,Il a atteint son but.,Er hat sein Ziel erreicht.
,le succès,der Erfolg
,les succès,die Erfolge
,l’échec,der Misserfolg
,les échecs,die Misserfolge
,le rêve,der Traum
,les rêves,die Träume
,prendre qn en voiture,mitnehmen
,il prend .. en voiture,er nimmmt … mit
,il a pris en voiture,er hat mitgenommen
,Je te prends en voiture pour Cologne.,Ich nehme dich mit nach Köln.
,la vie,das Leben
,Il s’agit de…,Es geht um…
,Le film parle d’amour.,In dem Film geht es um Liebe.
,Le sujet est…,Das Thema ist…
,réussir,(es) schaffen)
,il réussit,er schafft es
,il a réussi,er hat es geschafft
,Il a réussi et a gagné.,Er hat es geschafft und gewonnen.
,un an plus tard,ein Jahr später
,déménager,ziehen
,il déménage,er zieht
,il a déménagé,er ist gezogen
,Il déménage à Berlin.,Er zieht nach Berlin.
,la maladie,die Krankheit
,les maladies,die Krankheiten
,la carrière,die Karriere
,les carrières,die Karrieren
,Il travaille dur à sa carrière.,Er arbeitet hart an seiner Karriere.
,entre-temps,inzwischen
,la science,die Wissenschaft
,les sciences,die Wissenschaften
,les sciences naturelles,die Naturwissenschaften
,le nez,die Nase
,les nez,die Nasen
,l’oeil,das Auge
,les yeux,die Augen
,le visage,das Gesicht
,les visages,die Gesichter
,la dent,der Zahn
,les dents,die Zähne
,la bouche,der Mund
,les bouches,die Münder
,l’oreille,das Ohr
,les oreilles,die Ohrren
,"le cheveux, la chevelure",das Haar
,les cheveux,die Haare
,le ventre,der Bauch
,les ventres,die Bäuche
,la jambe,das Bein
,les jambes,die Beine
,le dos,der Rücken
,le pied,der Fuss
,les pieds,die Füsse
,le bras,der Arm
,les bras,die Arme
,la tête,der Kopf
,les têtes,die Köpfe
,la main,die Hand
,les mains,die Hände
,tenir en équilibre,balancieren
,il tient en équilibre,er balanciert
,il a tenu en équilibre,er hat balanciert
,paresseux,faul
,appliqué,fleissig
,"amusant, drôle, marrant",lustig
,intelligent,klug / intelligent
,le courage,der Mut
,timide,schüchtern
,être surdoué pour la musique,musikalisch
,"désordonné, chaotique",chaotisch
,talentueux,talentiert
,la confiance,das Vertrauen
,nerveux,nervös
,créatif,kreativ
,curieux,neugierig
,ambitieux,ehrgeizig
,patient,geduldig
